Geltokia,Latitudea,Longitudea
Aginaga,43.272468,-2.073973
Alkortaenea,43.268894,-2.039645
Amiri,43.262158,-2.049114
Arratzain,43.291542,-2.051722
Etxetxo ingurua,43.266658,-2.042224
Iartza,43.275028,-2.040046
Ibarrola,43.284687,-2.041943
Kalezar,43.272075,-2.044522
Santuenea,43.266214,-2.055919
Txantxon,43.288318,-2.064247
Txikierdi,43.273763,-2.028466
Txokoalde,43.269328,-2.066707
Urdaiaga San Esteban,43.269143,-2.061026
Urdaira,43.290711,-2.074820
Usurbil kaxkoa,43.271478,-2.050513
Zubieta,43.272225,-2.032869
